block,group,channels,channel_count,minimum_scale,maximum_scale,scale_ratio
3,0,"[33, 15, 35, 25, 38, 44, 39, 9, 0, 16, 23, 37]",12,0.0007777655846439302,0.0013304963940754533,1.710664987564087
3,1,"[42, 19, 32, 17, 24, 40, 34, 2, 46, 8, 26, 47]",12,0.0013564799446612597,0.002399513963609934,1.768926978111267
3,2,"[27, 14, 41, 5, 29, 43, 31, 10, 30, 6, 7, 20]",12,0.002444034442305565,0.004026946611702442,1.6476635932922363
3,3,"[22, 45, 13, 4, 12, 36, 18, 28, 11, 1, 3, 21]",12,0.0040849423967301846,0.12154709547758102,29.754911422729492
