model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
original_fp32,validation,0.9737654320987654,0.9743417083564928,0.975994238448829,0.9749373924825349,0.9737863273004841
original_int8,validation,0.10802469135802469,0.09898845687602215,0.10698479984770307,0.04883793092437172,0.051831625918208744
grouped_fp32,validation,0.9737654320987654,0.9743417083564928,0.975994238448829,0.9749373924825349,0.9737863273004841
grouped_int8,validation,0.9012345679012346,0.9112989633019006,0.9031541891486305,0.9016182972742641,0.8998566452119436
original_fp32,test,0.9737654320987654,0.9741657440318537,0.9749186820859423,0.9738519411097102,0.9737926072779836
original_int8,test,0.10648148148148148,0.21874577618763666,0.10814184789856267,0.05975190414506484,0.06133172509202985
grouped_fp32,test,0.9737654320987654,0.9741657440318537,0.9749186820859423,0.9738519411097102,0.9737926072779836
grouped_int8,test,0.8950617283950617,0.9105631407475705,0.8946348460494372,0.895806204038861,0.8947924615085622
