index,operator
349,SOFTMAX
350,RESHAPE
351,RESHAPE
352,BATCH_MATMUL
353,RESHAPE
354,TRANSPOSE
355,RESHAPE
356,FULLY_CONNECTED
357,ADD
358,RESHAPE
359,MEAN
360,RESHAPE
361,SQUARED_DIFFERENCE
362,MEAN
363,ADD
364,RSQRT
365,MUL
366,SUB
367,RESHAPE
368,MUL
369,RESHAPE
370,ADD
371,FULLY_CONNECTED
372,RESHAPE
373,LOGISTIC
374,MUL
375,FULLY_CONNECTED
376,ADD
377,RESHAPE
378,MEAN
379,RESHAPE
380,SQUARED_DIFFERENCE
381,MEAN
382,ADD
383,RSQRT
384,MUL
385,SUB
386,RESHAPE
387,MUL
388,RESHAPE
389,ADD
390,FULLY_CONNECTED
391,RESHAPE
392,TRANSPOSE
393,FULLY_CONNECTED
394,RESHAPE
395,FULLY_CONNECTED
396,RESHAPE
397,TRANSPOSE
398,TRANSPOSE
399,RESHAPE
400,RESHAPE
401,BATCH_MATMUL
402,MUL
403,RESHAPE
404,SOFTMAX
405,RESHAPE
406,RESHAPE
407,BATCH_MATMUL
408,RESHAPE
409,TRANSPOSE
410,RESHAPE
411,FULLY_CONNECTED
412,ADD
413,RESHAPE
414,MEAN
415,RESHAPE
416,SQUARED_DIFFERENCE
417,MEAN
418,ADD
419,RSQRT
420,MUL
421,SUB
422,RESHAPE
423,MUL
424,RESHAPE
425,ADD
426,FULLY_CONNECTED
427,RESHAPE
428,LOGISTIC
429,MUL
430,FULLY_CONNECTED
431,ADD
432,RESHAPE
433,MEAN
434,RESHAPE
435,SQUARED_DIFFERENCE
436,MEAN
437,ADD
438,RSQRT
439,MUL
440,SUB
441,RESHAPE
442,MUL
443,RESHAPE
444,ADD
445,FULLY_CONNECTED
446,RESHAPE
447,TRANSPOSE
448,FULLY_CONNECTED
449,RESHAPE
450,FULLY_CONNECTED
451,RESHAPE
452,TRANSPOSE
453,TRANSPOSE
454,RESHAPE
455,RESHAPE
456,BATCH_MATMUL
457,MUL
458,RESHAPE
459,SOFTMAX
460,RESHAPE
461,RESHAPE
462,BATCH_MATMUL
463,RESHAPE
464,TRANSPOSE
465,RESHAPE
466,FULLY_CONNECTED
467,ADD
468,RESHAPE
469,MEAN
470,RESHAPE
471,SQUARED_DIFFERENCE
472,MEAN
473,ADD
474,RSQRT
475,MUL
476,SUB
477,RESHAPE
478,MUL
479,RESHAPE
480,ADD
481,FULLY_CONNECTED
482,RESHAPE
483,LOGISTIC
484,MUL
485,FULLY_CONNECTED
486,ADD
487,RESHAPE
488,MEAN
489,RESHAPE
490,SQUARED_DIFFERENCE
491,MEAN
492,ADD
493,RSQRT
494,MUL
495,SUB
496,RESHAPE
497,MUL
498,RESHAPE
499,ADD
500,FULLY_CONNECTED
501,RESHAPE
502,TRANSPOSE
503,FULLY_CONNECTED
504,RESHAPE
505,FULLY_CONNECTED
506,RESHAPE
507,TRANSPOSE
508,TRANSPOSE
509,RESHAPE
510,RESHAPE
511,BATCH_MATMUL
512,MUL
513,RESHAPE
514,SOFTMAX
515,RESHAPE
516,RESHAPE
517,BATCH_MATMUL
518,RESHAPE
519,TRANSPOSE
520,RESHAPE
521,FULLY_CONNECTED
522,ADD
523,RESHAPE
524,MEAN
525,RESHAPE
526,SQUARED_DIFFERENCE
527,MEAN
528,ADD
529,RSQRT
530,MUL
531,SUB
532,RESHAPE
533,MUL
534,RESHAPE
535,ADD
