block,block_name,channel,minimum,maximum,rms,channel_scale,tensor_scale,rms_over_tensor_scale,approximate_int8_codes
1,model.mobilevit.encoder.layer.0.layer.0,0,-0.27846458554267883,9.284625053405762,2.3996384143829346,0.037502311170101166,0.21676690876483917,11.0701322555542,45
1,model.mobilevit.encoder.layer.0.layer.0,1,-0.27846455574035645,0.21260318160057068,0.1041734367609024,0.0019257558742538095,0.21676690876483917,0.48057812452316284,3
1,model.mobilevit.encoder.layer.0.layer.0,2,-0.27846458554267883,6.159465789794922,1.8067814111709595,0.025246785953640938,0.21676690876483917,8.335134506225586,30
1,model.mobilevit.encoder.layer.0.layer.0,3,-0.27846458554267883,0.8981897234916687,0.19421587884426117,0.00461433082818985,0.21676690876483917,0.8959664702415466,6
1,model.mobilevit.encoder.layer.0.layer.0,4,-0.12905535101890564,0.9029959440231323,0.024885304272174835,0.004047260154038668,0.21676690876483917,0.11480213701725006,5
1,model.mobilevit.encoder.layer.0.layer.0,5,-0.27846455574035645,0.5346593856811523,0.07884106785058975,0.0031887213699519634,0.21676690876483917,0.3637135922908783,4
1,model.mobilevit.encoder.layer.0.layer.0,6,-0.27846455574035645,0.9915186762809753,0.22370463609695435,0.004980326630175114,0.21676690876483917,1.0320054292678833,6
1,model.mobilevit.encoder.layer.0.layer.0,7,-0.27846458554267883,-0.05828378349542618,0.27265605330467224,0.000863454130012542,0.21676690876483917,1.2578306198120117,2
1,model.mobilevit.encoder.layer.0.layer.0,8,0.5055765509605408,2.1176340579986572,0.6746153235435486,0.0063217938877642155,0.21676690876483917,3.1121692657470703,8
1,model.mobilevit.encoder.layer.0.layer.0,9,-0.27846458554267883,0.5958876609802246,0.2521005868911743,0.0034288321621716022,0.21676690876483917,1.1630030870437622,5
1,model.mobilevit.encoder.layer.0.layer.0,10,-0.27846455574035645,20.81666374206543,1.4665929079055786,0.08272599428892136,0.21676690876483917,6.7657599449157715,98
1,model.mobilevit.encoder.layer.0.layer.0,11,-0.27846458554267883,0.9183236956596375,0.18307943642139435,0.0046932874247431755,0.21676690876483917,0.8445912599563599,6
1,model.mobilevit.encoder.layer.0.layer.0,12,-0.27846458554267883,54.99709701538086,2.998694896697998,0.21676690876483917,0.21676690876483917,13.83372974395752,256
1,model.mobilevit.encoder.layer.0.layer.0,13,-0.27846455574035645,1.1338820457458496,0.17892014980316162,0.005538614001125097,0.21676690876483917,0.8254034519195557,7
1,model.mobilevit.encoder.layer.0.layer.0,14,-0.27846455574035645,13.14073657989502,1.5921218395233154,0.05262431874871254,0.21676690876483917,7.3448567390441895,62
1,model.mobilevit.encoder.layer.0.layer.0,15,-0.27846458554267883,18.643299102783203,1.3939647674560547,0.0742029994726181,0.21676690876483917,6.430708408355713,88
1,model.mobilevit.encoder.layer.0.layer.0,16,-0.27846458554267883,2.361661434173584,0.24600505828857422,0.010353434830904007,0.21676690876483917,1.134882926940918,13
1,model.mobilevit.encoder.layer.0.layer.0,17,-0.27846458554267883,0.04298439994454384,0.2629856467247009,0.001260584220290184,0.21676690876483917,1.2132185697555542,2
1,model.mobilevit.encoder.layer.0.layer.0,18,-0.27846455574035645,2.1248602867126465,0.2570481598377228,0.009424802847206593,0.21676690876483917,1.1858274936676025,12
1,model.mobilevit.encoder.layer.0.layer.0,19,-0.27846455574035645,3.316250801086426,0.4821641445159912,0.014096923172473907,0.21676690876483917,2.224343776702881,17
1,model.mobilevit.encoder.layer.0.layer.0,20,-0.27846455574035645,8.209153175354004,1.4493217468261719,0.03328477591276169,0.21676690876483917,6.686083793640137,40
1,model.mobilevit.encoder.layer.0.layer.0,21,-0.2775217890739441,0.5204981565475464,0.1417519748210907,0.00312948995269835,0.21676690876483917,0.6539373397827148,4
1,model.mobilevit.encoder.layer.0.layer.0,22,-0.27846458554267883,10.223150253295898,1.5368671417236328,0.04118280112743378,0.21676690876483917,7.0899529457092285,49
1,model.mobilevit.encoder.layer.0.layer.0,23,-0.27846455574035645,15.086875915527344,2.316221237182617,0.0602562353014946,0.21676690876483917,10.685308456420898,71
1,model.mobilevit.encoder.layer.0.layer.0,24,-0.16275924444198608,0.2241293042898178,0.03129184991121292,0.0015172100393101573,0.21676690876483917,0.1443571299314499,2
1,model.mobilevit.encoder.layer.0.layer.0,25,-0.23374639451503754,1.4456846714019775,0.2646609842777252,0.006586004048585892,0.21676690876483917,1.2209473848342896,8
1,model.mobilevit.encoder.layer.0.layer.0,26,-0.27846455574035645,5.583456039428711,0.25981274247169495,0.02298792265355587,0.21676690876483917,1.1985812187194824,28
1,model.mobilevit.encoder.layer.0.layer.0,27,-0.27846455574035645,13.891287803649902,1.8053545951843262,0.055567655712366104,0.21676690876483917,8.32855224609375,66
1,model.mobilevit.encoder.layer.0.layer.0,28,0.06555983424186707,0.4618366062641144,0.22251617908477783,0.0015540265012532473,0.21676690876483917,1.0265228748321533,2
1,model.mobilevit.encoder.layer.0.layer.0,29,-0.27846455574035645,26.438007354736328,2.030144691467285,0.1047704815864563,0.21676690876483917,9.365565299987793,124
1,model.mobilevit.encoder.layer.0.layer.0,30,-0.27846458554267883,0.1816444993019104,0.181278795003891,0.0018043493619188666,0.21676690876483917,0.8362844586372375,3
1,model.mobilevit.encoder.layer.0.layer.0,31,-0.09427107125520706,0.07445354759693146,0.035028018057346344,0.0006616652244701982,0.21676690876483917,0.1615930199623108,1
2,model.mobilevit.encoder.layer.1.layer.0,0,-0.27846455574035645,0.7642470002174377,0.08740150928497314,0.00408906489610672,0.5132473707199097,0.17029120028018951,3
2,model.mobilevit.encoder.layer.1.layer.0,1,-0.27846458554267883,15.479212760925293,2.246467113494873,0.061794813722372055,0.5132473707199097,4.376967430114746,31
2,model.mobilevit.encoder.layer.1.layer.0,2,-0.27846455574035645,1.1718556880950928,0.08877117931842804,0.005687530152499676,0.5132473707199097,0.1729598343372345,3
2,model.mobilevit.encoder.layer.1.layer.0,3,-0.27846455574035645,3.661670207977295,0.25208091735839844,0.015451508574187756,0.5132473707199097,0.491148978471756,8
2,model.mobilevit.encoder.layer.1.layer.0,4,-0.27846458554267883,130.59962463378906,4.249995708465576,0.5132473707199097,0.5132473707199097,8.280598640441895,256
2,model.mobilevit.encoder.layer.1.layer.0,5,-0.27846455574035645,1.2018393278121948,0.2873772382736206,0.005805113352835178,0.5132473707199097,0.559919536113739,3
2,model.mobilevit.encoder.layer.1.layer.0,6,-0.27846458554267883,76.27751159667969,4.004024982452393,0.30021950602531433,0.5132473707199097,7.801354885101318,150
2,model.mobilevit.encoder.layer.1.layer.0,7,-0.27846431732177734,5.3853349685668945,0.9276418089866638,0.022210977971553802,0.5132473707199097,1.8073971271514893,12
2,model.mobilevit.encoder.layer.1.layer.0,8,-0.27846458554267883,100.4274673461914,7.158845901489258,0.39492523670196533,0.5132473707199097,13.948139190673828,197
2,model.mobilevit.encoder.layer.1.layer.0,9,-0.1354374885559082,0.1608218103647232,0.016704468056559563,0.0011618011631071568,0.5132473707199097,0.032546620815992355,1
2,model.mobilevit.encoder.layer.1.layer.0,10,-0.27845218777656555,1.1509073972702026,0.10430118441581726,0.005605331622064114,0.5132473707199097,0.20321816205978394,3
2,model.mobilevit.encoder.layer.1.layer.0,11,-0.24839775264263153,0.2525367736816406,0.04029006510972977,0.0019644491840153933,0.5132473707199097,0.07850028574466705,1
2,model.mobilevit.encoder.layer.1.layer.0,12,-0.2625809609889984,12.927692413330078,1.6289116144180298,0.0517265610396862,0.5132473707199097,3.1737358570098877,26
2,model.mobilevit.encoder.layer.1.layer.0,13,-0.27314653992652893,1.067846417427063,0.10318788886070251,0.00525879580527544,0.5132473707199097,0.20104902982711792,3
2,model.mobilevit.encoder.layer.1.layer.0,14,-0.2644224762916565,0.38557443022727966,0.07273530960083008,0.0025490073021501303,0.5132473707199097,0.1417158991098404,2
2,model.mobilevit.encoder.layer.1.layer.0,15,-0.27846458554267883,8.050786972045898,1.1955466270446777,0.032663729041814804,0.5132473707199097,2.3293769359588623,17
2,model.mobilevit.encoder.layer.1.layer.0,16,-0.27846455574035645,6.300375938415527,0.9528106451034546,0.025799373164772987,0.5132473707199097,1.8564355373382568,13
2,model.mobilevit.encoder.layer.1.layer.0,17,-0.27846455574035645,1.4420404434204102,0.1331137865781784,0.006747078616172075,0.5132473707199097,0.25935599207878113,4
2,model.mobilevit.encoder.layer.1.layer.0,18,-0.27846458554267883,43.423274993896484,3.1087472438812256,0.17137937247753143,0.5132473707199097,6.057015419006348,86
2,model.mobilevit.encoder.layer.1.layer.0,19,-0.27846455574035645,107.29306030273438,6.745925426483154,0.4218491315841675,0.5132473707199097,13.143613815307617,210
2,model.mobilevit.encoder.layer.1.layer.0,20,-0.27846458554267883,71.56731414794922,5.361795902252197,0.2817481458187103,0.5132473707199097,10.446805953979492,140
2,model.mobilevit.encoder.layer.1.layer.0,21,-0.27846458554267883,94.35918426513672,8.500067710876465,0.37112802267074585,0.5132473707199097,16.56134605407715,185
2,model.mobilevit.encoder.layer.1.layer.0,22,-0.27846458554267883,36.61674118041992,3.7265448570251465,0.14468708634376526,0.5132473707199097,7.260718822479248,72
2,model.mobilevit.encoder.layer.1.layer.0,23,-0.27846458554267883,25.098819732666016,2.263641595840454,0.09951876103878021,0.5132473707199097,4.410429954528809,50
2,model.mobilevit.encoder.layer.1.layer.0,24,-0.27846455574035645,0.3084099292755127,0.15557071566581726,0.002301468513906002,0.5132473707199097,0.30311059951782227,2
2,model.mobilevit.encoder.layer.1.layer.0,25,-0.27846458554267883,0.5258387327194214,0.14198502898216248,0.0031541306525468826,0.5132473707199097,0.27664053440093994,2
2,model.mobilevit.encoder.layer.1.layer.0,26,-0.27846458554267883,15.070420265197754,1.6178563833236694,0.06019170582294464,0.5132473707199097,3.152196168899536,30
2,model.mobilevit.encoder.layer.1.layer.0,27,-0.2784644663333893,1.4163768291473389,0.12785464525222778,0.006646436173468828,0.5132473707199097,0.2491092085838318,4
2,model.mobilevit.encoder.layer.1.layer.0,28,-0.0649639368057251,0.08472032099962234,0.010610928758978844,0.0005869970773346722,0.5132473707199097,0.020674102008342743,1
2,model.mobilevit.encoder.layer.1.layer.0,29,-0.16423636674880981,0.15426933765411377,0.04776954650878906,0.001249041990377009,0.5132473707199097,0.09307314455509186,1
