block,channel,weight_abs_max,weight_mean_abs,weight_std,activation_scale
1,0,1.3712702989578247,0.18144944310188293,0.3418421447277069,0.0375023111701011
1,1,0.7947461605072021,0.14833642542362213,0.23672999441623688,0.0019257558742538
1,2,1.0021363496780396,0.17165541648864746,0.28052812814712524,0.0252467859536409
1,3,0.8304283022880554,0.13018277287483215,0.25285807251930237,0.0046143308281898
1,4,0.6732743978500366,0.14632216095924377,0.23317907750606537,0.0040472601540386
1,5,0.6872347593307495,0.17290842533111572,0.26585936546325684,0.0031887213699519
1,6,2.1120169162750244,0.23062263429164886,0.5270792245864868,0.0049803266301751
1,7,0.785666823387146,0.14879342913627625,0.2505022883415222,0.0008634541300125
1,8,0.6681731343269348,0.16564121842384338,0.22965814173221588,0.0063217938877642
1,9,0.6860742568969727,0.17570523917675018,0.26994261145591736,0.0034288321621716
1,10,0.5116466283798218,0.1695462167263031,0.2305191606283188,0.0827259942889213
1,11,1.3307812213897705,0.1418037861585617,0.3379899561405182,0.0046932874247431
1,12,0.4683803915977478,0.15962612628936768,0.20221735537052155,0.2167669087648391
1,13,0.6917314529418945,0.14909231662750244,0.23012611269950867,0.005538614001125
1,14,0.4615432322025299,0.13886812329292297,0.19303147494792938,0.0526243187487125
1,15,1.2609225511550903,0.16323409974575043,0.34359148144721985,0.0742029994726181
1,16,0.45293372869491577,0.15943917632102966,0.20506487786769867,0.010353434830904
1,17,0.8646354675292969,0.1450035125017166,0.2558146119117737,0.0012605842202901
1,18,0.45727917551994324,0.17231042683124542,0.21718083322048187,0.0094248028472065
1,19,0.6527789235115051,0.18058884143829346,0.259640634059906,0.0140969231724739
1,20,0.531322717666626,0.1832549124956131,0.2536480724811554,0.0332847759127616
1,21,1.7880120277404785,0.2875162661075592,0.5330904126167297,0.0031294899526983
1,22,0.8825346231460571,0.13039779663085938,0.2686651945114136,0.0411828011274337
1,23,0.6166794896125793,0.16248077154159546,0.23290444910526276,0.0602562353014946
1,24,1.100957989692688,0.19693243503570557,0.3828059732913971,0.0015172100393101
1,25,0.3580763339996338,0.17013297975063324,0.1793932020664215,0.0065860040485858
1,26,0.6379937529563904,0.14739678800106049,0.230661541223526,0.0229879226535558
1,27,0.8264976143836975,0.12888196110725403,0.2293376475572586,0.0555676557123661
1,28,1.1131480932235718,0.2424594908952713,0.3992142975330353,0.0015540265012532
1,29,1.1628060340881348,0.16274483501911163,0.315743625164032,0.1047704815864563
1,30,0.7905358672142029,0.20639821887016296,0.29034605622291565,0.0018043493619188
1,31,1.365908145904541,0.18889102339744568,0.3620494306087494,0.0006616652244701
2,0,0.4740828275680542,0.1519445925951004,0.1960422694683075,0.0040890648961067
2,1,0.5198631286621094,0.15886148810386658,0.2124062180519104,0.061794813722372
2,2,0.5092247724533081,0.1886267364025116,0.21077612042427063,0.0056875301524996
2,3,0.6309458613395691,0.17574001848697662,0.21882471442222595,0.0154515085741877
2,4,0.3729075491428375,0.17315536737442017,0.19795027375221252,0.5132473707199097
2,5,0.5022156238555908,0.14899052679538727,0.19458185136318207,0.0058051133528351
2,6,0.4848446547985077,0.1486889123916626,0.1944911628961563,0.3002195060253143
2,7,0.5950231552124023,0.14602595567703247,0.21544577181339264,0.0222109779715538
2,8,0.5092601776123047,0.14491307735443115,0.18895886838436127,0.3949252367019653
2,9,0.4484180510044098,0.16031891107559204,0.19022275507450104,0.0011618011631071
2,10,0.467582106590271,0.15461520850658417,0.18882665038108826,0.0056053316220641
2,11,0.5423092842102051,0.15842649340629578,0.2128784954547882,0.0019644491840153
2,12,0.449442058801651,0.1686968207359314,0.18820515275001526,0.0517265610396862
2,13,0.5512987971305847,0.14735236763954163,0.2126006782054901,0.0052587958052754
2,14,0.7810944318771362,0.13183186948299408,0.23436416685581207,0.0025490073021501
2,15,0.7674140930175781,0.1377345621585846,0.23934441804885864,0.0326637290418148
2,16,0.5993720293045044,0.18008768558502197,0.22333821654319763,0.0257993731647729
2,17,0.4583861231803894,0.1546328216791153,0.17595554888248444,0.006747078616172
2,18,0.3995760977268219,0.17277640104293823,0.20596091449260712,0.1713793724775314
2,19,0.43652573227882385,0.1493636667728424,0.18599767982959747,0.4218491315841675
2,20,0.3840310275554657,0.15851780772209167,0.20301546156406403,0.2817481458187103
2,21,0.4924984276294708,0.15857739746570587,0.20215491950511932,0.3711280226707458
2,22,0.6691642999649048,0.1651180386543274,0.2228538990020752,0.1446870863437652
2,23,0.3889966309070587,0.14511221647262573,0.1526491940021515,0.0995187610387802
2,24,0.667488157749176,0.14982494711875916,0.21996019780635834,0.002301468513906
2,25,0.4957885444164276,0.15268918871879578,0.1902797520160675,0.0031541306525468
2,26,0.44894465804100037,0.14100539684295654,0.13648557662963867,0.0601917058229446
2,27,0.5086058974266052,0.1510728895664215,0.19669558107852936,0.0066464361734688
2,28,0.3499370813369751,0.1628618836402893,0.18558567762374878,0.0005869970773346
2,29,0.5882207751274109,0.1445206105709076,0.20704993605613708,0.001249041990377
