model,path,size_mb,input_dtype,output_dtype,tensor_count,quantized_tensor_count
g8_4_4,/home/jovyan/work/UFSC/butterflies_austria/butterflies_austria_edge_vision/artigo_experimentos/gerar_plots/models/mobilevit_g8_4_4_int8.tflite,1.7583084106445312,int8,int8,1145,1058
g8_4_4 + b3_g4,/home/jovyan/work/UFSC/butterflies_austria/butterflies_austria_edge_vision/artigo_experimentos/gerar_plots/models/mobilevit_g8_4_4_b3_g4_int8.tflite,1.7819366455078125,int8,int8,1187,1100
