configuration,block,group,channel,estimated_effective_levels
Original,6,1,81,56
Original,6,1,82,5
Original,6,1,83,122
Original,6,1,84,69
Original,6,1,85,9
Original,6,1,86,35
Original,6,1,87,86
Original,6,1,88,68
Original,6,1,89,62
Original,6,1,90,11
Original,6,1,91,7
Original,6,1,92,75
Original,6,1,93,71
Original,6,1,94,36
Original,6,1,95,41
Original,7,1,0,22
Original,7,1,1,68
Original,7,1,2,60
Original,7,1,3,62
Original,7,1,4,5
Original,7,1,5,63
Original,7,1,6,57
Original,7,1,7,78
Original,7,1,8,36
Original,7,1,9,3
Original,7,1,10,50
Original,7,1,11,241
Original,7,1,12,13
Original,7,1,13,33
Original,7,1,14,45
Original,7,1,15,45
Original,7,1,16,40
Original,7,1,17,84
Original,7,1,18,4
Original,7,1,19,69
Original,7,1,20,48
Original,7,1,21,35
Original,7,1,22,3
Original,7,1,23,70
Original,7,1,24,43
Original,7,1,25,64
Original,7,1,26,59
Original,7,1,27,43
Original,7,1,28,2
Original,7,1,29,48
Original,7,1,30,43
Original,7,1,31,64
Original,7,1,32,37
Original,7,1,33,43
Original,7,1,34,58
Original,7,1,35,35
Original,7,1,36,4
Original,7,1,37,68
Original,7,1,38,20
Original,7,1,39,45
Original,7,1,40,4
Original,7,1,41,72
Original,7,1,42,37
Original,7,1,43,52
Original,7,1,44,136
Original,7,1,45,25
Original,7,1,46,39
Original,7,1,47,58
Original,7,1,48,76
Original,7,1,49,70
Original,7,1,50,90
Original,7,1,51,15
Original,7,1,52,106
Original,7,1,53,4
Original,7,1,54,36
Original,7,1,55,49
Original,7,1,56,9
Original,7,1,57,35
Original,7,1,58,54
Original,7,1,59,49
Original,7,1,60,47
Original,7,1,61,105
Original,7,1,62,255
Original,7,1,63,3
Original,7,1,64,3
Original,7,1,65,45
Original,7,1,66,1
Original,7,1,67,34
Original,7,1,68,2
Original,7,1,69,33
Original,7,1,70,41
Original,7,1,71,44
Original,7,1,72,42
Original,7,1,73,1
Original,7,1,74,56
Original,7,1,75,2
Original,7,1,76,2
Original,7,1,77,55
Original,7,1,78,2
Original,7,1,79,12
Original,7,1,80,69
Original,7,1,81,74
Original,7,1,82,72
Original,7,1,83,66
Original,7,1,84,40
Original,7,1,85,52
Original,7,1,86,65
Original,7,1,87,77
Original,7,1,88,45
Original,7,1,89,42
Original,7,1,90,52
Original,7,1,91,36
Original,7,1,92,44
Original,7,1,93,52
Original,7,1,94,43
Original,7,1,95,65
Original,7,1,96,59
Original,7,1,97,58
Original,7,1,98,58
Original,7,1,99,3
Original,7,1,100,91
Original,7,1,101,3
Original,7,1,102,86
Original,7,1,103,34
Original,7,1,104,44
Original,7,1,105,48
Original,7,1,106,3
Original,7,1,107,4
Original,7,1,108,60
Original,7,1,109,2
Original,7,1,110,47
Original,7,1,111,184
Original,7,1,112,59
Original,7,1,113,71
Original,7,1,114,83
Original,7,1,115,51
Original,7,1,116,65
Original,7,1,117,57
Original,7,1,118,66
Original,7,1,119,3
Original,7,1,120,51
Original,7,1,121,50
Original,7,1,122,36
Original,7,1,123,49
Original,7,1,124,113
Original,7,1,125,47
Original,7,1,126,81
Original,7,1,127,13
g8_4_4,1,1,31,86
g8_4_4,1,1,7,112
g8_4_4,1,1,17,164
g8_4_4,1,1,24,197
g8_4_4,1,2,28,127
g8_4_4,1,2,30,147
g8_4_4,1,2,1,157
g8_4_4,1,2,21,255
g8_4_4,1,3,5,176
g8_4_4,1,3,9,189
g8_4_4,1,3,4,223
g8_4_4,1,3,3,254
g8_4_4,1,4,11,128
g8_4_4,1,4,6,136
g8_4_4,1,4,13,151
g8_4_4,1,4,8,172
g8_4_4,1,5,25,120
g8_4_4,1,5,18,171
g8_4_4,1,5,16,188
g8_4_4,1,5,19,255
g8_4_4,1,6,26,157
g8_4_4,1,6,2,172
g8_4_4,1,6,20,227
g8_4_4,1,6,0,256
g8_4_4,1,7,22,175
g8_4_4,1,7,14,223
g8_4_4,1,7,27,236
g8_4_4,1,7,23,255
g8_4_4,1,8,15,88
g8_4_4,1,8,10,98
g8_4_4,1,8,29,124
g8_4_4,1,8,12,256
g8_4_4,2,1,28,37
g8_4_4,2,1,9,73
g8_4_4,2,1,29,78
g8_4_4,2,1,11,123
g8_4_4,2,1,24,144
g8_4_4,2,1,14,159
g8_4_4,2,1,25,197
g8_4_4,2,1,0,255
g8_4_4,2,2,13,87
g8_4_4,2,2,31,89
g8_4_4,2,2,10,93
g8_4_4,2,2,2,94
g8_4_4,2,2,5,96
g8_4_4,2,2,27,110
g8_4_4,2,2,17,112
g8_4_4,2,2,3,255
g8_4_4,2,3,7,40
g8_4_4,2,3,16,46
g8_4_4,2,3,15,58
g8_4_4,2,3,12,92
g8_4_4,2,3,26,107
g8_4_4,2,3,1,109
g8_4_4,2,3,23,176
g8_4_4,2,3,22,256
g8_4_4,2,4,18,86
g8_4_4,2,4,20,140
g8_4_4,2,4,6,150
g8_4_4,2,4,21,185
g8_4_4,2,4,8,197
g8_4_4,2,4,30,210
g8_4_4,2,4,19,210
g8_4_4,2,4,4,256
g8_4_4,3,1,0,3
g8_4_4,3,1,1,146
g8_4_4,3,1,2,5
g8_4_4,3,1,3,177
g8_4_4,3,1,4,12
g8_4_4,3,1,5,7
g8_4_4,3,1,6,8
g8_4_4,3,1,7,9
g8_4_4,3,1,8,5
g8_4_4,3,1,9,3
g8_4_4,3,1,10,8
g8_4_4,3,1,11,66
g8_4_4,3,1,12,13
g8_4_4,3,1,13,12
g8_4_4,3,1,14,6
g8_4_4,3,1,15,2
g8_4_4,3,1,16,3
g8_4_4,3,1,17,4
g8_4_4,3,1,18,34
g8_4_4,3,1,19,3
g8_4_4,3,1,20,9
g8_4_4,3,1,21,256
g8_4_4,3,1,22,9
g8_4_4,3,1,23,3
g8_4_4,3,1,24,4
g8_4_4,3,1,25,2
g8_4_4,3,1,26,5
g8_4_4,3,1,27,6
g8_4_4,3,1,28,46
g8_4_4,3,1,29,7
g8_4_4,3,1,30,8
g8_4_4,3,1,31,8
g8_4_4,3,1,32,4
g8_4_4,3,1,33,2
g8_4_4,3,1,34,4
g8_4_4,3,1,35,2
g8_4_4,3,1,36,23
g8_4_4,3,1,37,3
g8_4_4,3,1,38,2
g8_4_4,3,1,39,3
g8_4_4,3,1,40,4
g8_4_4,3,1,41,6
g8_4_4,3,1,42,3
g8_4_4,3,1,43,7
g8_4_4,3,1,44,3
g8_4_4,3,1,45,10
g8_4_4,3,1,46,5
g8_4_4,3,1,47,6
g8_4_4,4,1,0,61
g8_4_4,4,1,1,4
g8_4_4,4,1,2,160
g8_4_4,4,1,3,19
g8_4_4,4,1,4,94
g8_4_4,4,1,5,62
g8_4_4,4,1,6,11
g8_4_4,4,1,7,28
g8_4_4,4,1,8,20
g8_4_4,4,1,9,35
g8_4_4,4,1,10,34
g8_4_4,4,1,11,61
g8_4_4,4,1,12,8
g8_4_4,4,1,13,3
g8_4_4,4,1,14,43
g8_4_4,4,1,15,19
g8_4_4,4,1,16,17
g8_4_4,4,1,17,80
g8_4_4,4,1,18,163
g8_4_4,4,1,19,106
g8_4_4,4,1,20,255
g8_4_4,4,1,21,11
g8_4_4,4,1,22,8
g8_4_4,4,1,23,28
g8_4_4,4,1,24,4
g8_4_4,4,1,25,41
g8_4_4,4,1,26,44
g8_4_4,4,1,27,9
g8_4_4,4,1,28,13
g8_4_4,4,1,29,18
g8_4_4,4,1,30,90
g8_4_4,4,1,31,120
g8_4_4,4,1,32,16
g8_4_4,4,1,33,150
g8_4_4,4,1,34,162
g8_4_4,4,1,35,30
g8_4_4,4,1,36,48
g8_4_4,4,1,37,80
g8_4_4,4,1,38,11
g8_4_4,4,1,39,48
