block,channel_count,pearson_log,spearman
1,32,-0.2704652244606464,-0.3097507331378299
2,32,-0.282174046685834,-0.3192815249266862
3,48,-0.23594137080350075,-0.16239687364307426
4,48,-0.25924107425307846,-0.2961354754667825
5,48,-0.4314781678216894,-0.4489795918367347
6,96,-0.12088247347469099,-0.08726261530113945
7,128,0.11180236433735102,0.07616507965574071
